k,station_id,old_active,new_active,battery_at_swap
4410,0,cf1,cf5,52.24
4571,3,cf4,cf8,72.76
4589,1,cf2,cf6,78.16
4693,3,cf8,cf4,83.57
4711,1,cf6,cf2,87.07
4722,0,cf5,cf1,72.04
4836,3,cf4,cf8,80.66
4854,1,cf2,cf6,84.58
4875,0,cf1,cf5,86.47
4951,2,cf3,cf7,29.06
5128,3,cf8,cf4,60.45
5227,3,cf4,cf8,86.88
5244,1,cf6,cf2,57.55
5364,3,cf8,cf4,81.31
5382,1,cf2,cf6,85.15
5400,0,cf5,cf1,52.51
5560,3,cf4,cf8,72.91
5578,1,cf6,cf2,78.28
5682,3,cf8,cf4,83.57
5700,1,cf2,cf6,87.07
5711,0,cf1,cf5,72.14
5825,3,cf4,cf8,80.66
5843,1,cf6,cf2,84.58
5861,0,cf5,cf1,86.70
5940,2,cf7,cf3,28.90
6117,3,cf8,cf4,60.42
6215,3,cf4,cf8,87.03
6230,1,cf2,cf6,57.97
6351,3,cf8,cf4,81.43
6369,1,cf6,cf2,85.03
6387,0,cf1,cf5,52.48
6548,3,cf4,cf8,72.76
6566,1,cf2,cf6,78.16
6670,3,cf8,cf4,83.57
6688,1,cf6,cf2,87.07
6699,0,cf5,cf1,72.04
6813,3,cf4,cf8,80.66
6831,1,cf2,cf6,84.58
6849,0,cf1,cf5,86.70
