k,b_k,G_tilde,eta_k,r_drift,gamma,x_before_0,x_after_0,a_0,x_before_1,x_after_1,a_1,x_before_2,x_after_2,a_2,x_before_3,x_after_3,a_3
491,1,-28.931913,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.844492,0.850126,1,1.000000,1.000000,1
492,1,-28.493452,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.850126,0.855760,1,1.000000,1.000000,1
493,1,-28.054540,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.855760,0.861395,1,1.000000,1.000000,1
494,1,-27.615178,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.861395,0.867029,1,1.000000,1.000000,1
495,1,-27.175365,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.867029,0.872663,1,1.000000,1.000000,1
496,1,-26.735101,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.872663,0.878298,1,1.000000,1.000000,1
497,1,-26.294386,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.878298,0.883932,1,1.000000,1.000000,1
498,1,-25.853221,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.883932,0.889567,1,1.000000,1.000000,1
499,1,-25.411605,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.889567,0.895201,1,1.000000,1.000000,1
500,1,-24.969538,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.895201,0.900835,1,1.000000,1.000000,1
501,1,-24.527021,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.900835,0.906470,1,1.000000,1.000000,1
502,1,-24.084052,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.906470,0.912104,1,1.000000,1.000000,1
503,1,-23.640633,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.912104,0.917738,1,1.000000,1.000000,1
504,1,-23.196763,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.917738,0.923373,1,1.000000,1.000000,1
505,1,-22.752443,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.923373,0.929007,1,1.000000,1.000000,1
506,1,-22.307671,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.929007,0.934641,1,1.000000,1.000000,1
507,1,-21.862449,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.934641,0.940276,1,1.000000,1.000000,1
508,1,-21.416777,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.940276,0.945910,1,1.000000,1.000000,1
509,1,-20.970653,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.945910,0.951544,1,1.000000,1.000000,1
510,1,-20.524079,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.951544,0.957179,1,1.000000,1.000000,1
511,1,-20.077054,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.957179,0.962813,1,1.000000,1.000000,1
512,1,-19.629578,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.962813,0.968448,1,1.000000,1.000000,1
513,1,-19.181651,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.968448,0.974082,1,1.000000,1.000000,1
514,1,-18.733274,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.974082,0.979716,1,1.000000,1.000000,1
515,1,-18.284446,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.979716,0.985351,1,1.000000,1.000000,1
516,1,-17.835167,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.985351,0.990985,1,1.000000,1.000000,1
517,1,-17.385438,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.990985,0.996619,1,1.000000,1.000000,1
518,1,-16.935257,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.996619,1.000000,1,1.000000,1.000000,1
519,1,-16.484987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
520,1,-16.034987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
521,1,-15.584987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
522,1,-15.134987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
523,1,-14.684987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
524,1,-14.234987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
525,1,-13.784987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
526,1,-13.334987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
527,1,-12.884987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
528,1,-12.434987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
529,1,-11.984987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
530,1,-11.534987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
531,1,-11.084987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
532,1,-10.634987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
533,1,-10.184987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
534,1,-9.734987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
535,1,-9.284987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
536,1,-8.834987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
537,1,-8.384987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
538,1,-7.934987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
539,1,-7.484987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
540,1,-7.034987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
541,1,-6.584987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
542,1,-6.134987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
543,1,-5.684987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
544,1,-5.234987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
545,1,-4.784987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
